model_class,N,training_set_seed,test_llh,test_sizes,train_llh,train_sizes,
cue_dim_wrapped_stable,1,8,-60.68049724173598,650,-45.64828351846895,1221,
cue_dim_wrapped_stable,2,8,-382.15847949126794,650,-598.8562318383649,1150,
cue_dim_wrapped_stable,4,8,-683.1736135597793,650,-1331.408518531046,1150,
cue_dim_wrapped_stable,6,8,-896.2899005847794,650,-1576.6292719670153,1150,
cue_dim_wrapped_stable,1,7,-34.08539189126908,650,-71.17892981314796,1221,
cue_dim_wrapped_stable,2,7,-335.78026728456143,650,-645.6818800534684,1150,
cue_dim_wrapped_stable,4,7,-681.002527909862,650,-1334.4433820169609,1150,
cue_dim_wrapped_stable,6,7,-878.5365539501811,650,-1594.3544565412485,1150,
cue_dim_wrapped_stable,1,5,-43.654613352753586,650,-62.44769631348376,1221,
cue_dim_wrapped_stable,2,5,-358.4769661959022,650,-622.1870842216302,1150,
cue_dim_wrapped_stable,4,5,-731.5702510232488,650,-1282.8523989756318,1150,
cue_dim_wrapped_stable,6,5,-875.6502260102109,650,-1599.1773516830933,1150,
cue_dim_wrapped_stable,1,6,7.7924546699617085,650,-114.7130745358586,1221,
cue_dim_wrapped_stable,2,6,-380.17585321745133,650,-601.1953710665971,1150,
cue_dim_wrapped_stable,4,6,-707.4537969630198,650,-1307.075265871541,1150,
cue_dim_wrapped_stable,6,6,-896.2906526301492,650,-1577.3757348498812,1150,
cue_dim_wrapped_stable,1,0,-56.529439294523655,650,-48.820017596059444,1221,
cue_dim_wrapped_stable,2,0,-351.53788534460125,650,-630.0260466876491,1150,
cue_dim_wrapped_stable,4,0,-719.0757618178565,650,-1294.946759828934,1150,
cue_dim_wrapped_stable,6,0,-900.2312826334037,650,-1572.2713281300964,1150,
cue_dim_wrapped_stable,1,9,-971.9933523794361,650,-871.4104423521246,1221,
cue_dim_wrapped_stable,2,9,-628.955109199552,650,-755.9234398225194,1150,
cue_dim_wrapped_stable,4,9,-1094.2659752932932,650,-1600.3004925610478,1150,
cue_dim_wrapped_stable,6,9,-1108.2129366786478,650,-1721.3503556684805,1150,
cue_dim_wrapped_stable,1,2,-25.705379555562914,650,-79.48593374207505,1221,
cue_dim_wrapped_stable,2,2,-335.6014972281737,650,-645.646224854933,1150,
cue_dim_wrapped_stable,4,2,-742.6353805986497,650,-1272.6883469785444,1150,
cue_dim_wrapped_stable,6,2,-870.8573626020883,650,-1601.8503176927916,1150,
cue_dim_wrapped_stable,1,4,-91.34143394944346,650,-15.686339807254498,1221,
cue_dim_wrapped_stable,2,4,-330.22431409994226,650,-650.9990451275414,1150,
cue_dim_wrapped_stable,4,4,-696.4456626497827,650,-1318.623852171578,1150,
cue_dim_wrapped_stable,6,4,-917.606937319397,650,-1555.307903879729,1150,
cue_dim_wrapped_stable,1,3,-60.050884955741374,650,-45.96073973173096,1221,
cue_dim_wrapped_stable,2,3,-358.1685297812279,650,-623.1022676658953,1150,
cue_dim_wrapped_stable,4,3,-689.7784480016674,650,-1325.0585496091107,1150,
cue_dim_wrapped_stable,6,3,-911.135067558349,650,-1561.4801638239385,1150,
cue_dim_wrapped_stable,1,1,-40.87530541269739,650,-64.79541683912302,1221,
cue_dim_wrapped_stable,2,1,-409.5796646418546,650,-573.9438295857428,1150,
cue_dim_wrapped_stable,4,1,-716.2938058071483,650,-1297.5525775409842,1150,
cue_dim_wrapped_stable,6,1,-870.678351583703,650,-1602.3682268574094,1150,
spike_and_slab_von_mises_and_uniform,1,8,-68.11274549676676,650,-55.28836688172461,1221,
spike_and_slab_von_mises_and_uniform,2,8,-379.9182294740819,650,-604.1929972287819,1150,
spike_and_slab_von_mises_and_uniform,4,8,-696.0475286857468,650,-1338.4120856589218,1150,
spike_and_slab_von_mises_and_uniform,6,8,-896.1875614623964,650,-1591.7658951073095,1150,
spike_and_slab_von_mises_and_uniform,1,7,-38.86071397953923,650,-81.87624589278784,1221,
spike_and_slab_von_mises_and_uniform,2,7,-338.20973096269444,650,-645.9159364307632,1150,
spike_and_slab_von_mises_and_uniform,4,7,-683.1648039387644,650,-1352.175189635754,1150,
spike_and_slab_von_mises_and_uniform,6,7,-882.4615711782945,650,-1607.1200489857674,1150,
spike_and_slab_von_mises_and_uniform,1,5,-46.82942000425022,650,-75.38580969306166,1221,
spike_and_slab_von_mises_and_uniform,2,5,-363.7294732450882,650,-619.9773322695986,1150,
spike_and_slab_von_mises_and_uniform,4,5,-731.4682790108436,650,-1301.8506659619384,1150,
spike_and_slab_von_mises_and_uniform,6,5,-880.3907165188793,650,-1607.8533344629418,1150,
spike_and_slab_von_mises_and_uniform,1,6,-2.4823481514205614,650,-119.5239509933553,1221,
spike_and_slab_von_mises_and_uniform,2,6,-390.01189366829976,650,-594.944308123784,1150,
spike_and_slab_von_mises_and_uniform,4,6,-715.9873076727691,650,-1318.034403848786,1150,
spike_and_slab_von_mises_and_uniform,6,6,-897.9423860814579,650,-1590.3271493428772,1150,
spike_and_slab_von_mises_and_uniform,1,0,-59.99929908301134,650,-60.71634180486325,1221,
spike_and_slab_von_mises_and_uniform,2,0,-357.9334951243429,650,-627.8829586987621,1150,
spike_and_slab_von_mises_and_uniform,4,0,-725.5331477129125,650,-1307.9171916425826,1150,
spike_and_slab_von_mises_and_uniform,6,0,-900.6734515396925,650,-1587.7704747213356,1150,
spike_and_slab_von_mises_and_uniform,1,9,-95.93507035510211,650,-26.44781371842971,1221,
spike_and_slab_von_mises_and_uniform,2,9,-316.1565126793442,650,-668.4955180024117,1150,
spike_and_slab_von_mises_and_uniform,4,9,-718.6409301431048,650,-1314.8278601690417,1150,
spike_and_slab_von_mises_and_uniform,6,9,-904.9641021795203,650,-1584.241939952856,1150,
spike_and_slab_von_mises_and_uniform,1,2,-31.339321527883016,650,-89.58836160514623,1221,
spike_and_slab_von_mises_and_uniform,2,2,-338.6938676769381,650,-645.2990290877245,1150,
spike_and_slab_von_mises_and_uniform,4,2,-750.8226774844876,650,-1282.9187545543778,1150,
spike_and_slab_von_mises_and_uniform,6,2,-877.4402646622673,650,-1611.0621425772651,1150,
spike_and_slab_von_mises_and_uniform,1,4,-91.0916251942107,650,-31.223728529069636,1221,
spike_and_slab_von_mises_and_uniform,2,4,-333.21351246910785,650,-651.3874471098441,1150,
spike_and_slab_von_mises_and_uniform,4,4,-701.4717035273467,650,-1333.4007322871616,1150,
spike_and_slab_von_mises_and_uniform,6,4,-923.0294590779936,650,-1566.2116073700577,1150,
spike_and_slab_von_mises_and_uniform,1,3,-64.5723822654706,650,-58.60913467919583,1221,
spike_and_slab_von_mises_and_uniform,2,3,-358.81398162640016,650,-625.5677802375627,1150,
spike_and_slab_von_mises_and_uniform,4,3,-694.1103563621014,650,-1340.054292833608,1150,
spike_and_slab_von_mises_and_uniform,6,3,-916.864518041238,650,-1571.3349165207683,1150,
spike_and_slab_von_mises_and_uniform,1,1,-46.59020141008717,650,-74.00127964077612,1221,
spike_and_slab_von_mises_and_uniform,2,1,-412.4352121742685,650,-572.9182788659928,1150,
spike_and_slab_von_mises_and_uniform,4,1,-722.6971290433088,650,-1310.7392489160206,1150,
spike_and_slab_von_mises_and_uniform,6,1,-875.5476968769512,650,-1613.3832433994517,1150,
est_dim_wrapped_stable,1,8,-60.68049724174337,650,-45.64828351846924,1221,
est_dim_wrapped_stable,2,8,-380.7304409007028,650,-600.1616036980843,1150,
est_dim_wrapped_stable,4,8,-679.7244785055984,650,-1326.7395012926527,1150,
est_dim_wrapped_stable,6,8,-894.6909821470897,650,-1561.379374392117,1150,
est_dim_wrapped_stable,1,7,-34.08539190655857,650,-71.17892981314792,1221,
est_dim_wrapped_stable,2,7,-335.399030598332,650,-646.2085004821561,1150,
est_dim_wrapped_stable,4,7,-674.9990415314559,650,-1331.611045159672,1150,
est_dim_wrapped_stable,6,7,-867.581038868774,650,-1585.3644358651654,1150,
est_dim_wrapped_stable,1,5,-43.65460958657384,650,-62.44769631347498,1221,
est_dim_wrapped_stable,2,5,-359.43416725382843,650,-620.8085293520725,1150,
est_dim_wrapped_stable,4,5,-725.9319594602237,650,-1280.6551580565406,1150,
est_dim_wrapped_stable,6,5,-868.9890065691724,650,-1594.749912451927,1150,
est_dim_wrapped_stable,1,6,7.792471054199872,650,-114.71307453639112,1221,
est_dim_wrapped_stable,2,6,-383.89283712029163,650,-597.6416585163154,1150,
est_dim_wrapped_stable,4,6,-702.2206669141291,650,-1302.8404541979016,1150,
est_dim_wrapped_stable,6,6,-897.9063861644075,650,-1564.427847239669,1150,
est_dim_wrapped_stable,1,0,-56.5294392611529,650,-48.82001759605898,1221,
est_dim_wrapped_stable,2,0,-353.05477299917845,650,-629.5675218455199,1150,
est_dim_wrapped_stable,4,0,-717.9901110692297,650,-1286.627808271115,1150,
est_dim_wrapped_stable,6,0,-899.7663387220427,650,-1552.1175555449418,1150,
est_dim_wrapped_stable,1,9,-84.7954149081404,650,-22.433617581278774,1221,
est_dim_wrapped_stable,2,9,-313.43681340646765,650,-667.5334882488396,1150,
est_dim_wrapped_stable,4,9,-714.5030162139719,650,-1290.4511415715124,1150,
est_dim_wrapped_stable,6,9,-892.9823129610584,650,-1569.4771416635344,1150,
est_dim_wrapped_stable,1,2,-25.705379555562953,650,-79.48593374207499,1221,
est_dim_wrapped_stable,2,2,-335.9710914877226,650,-644.3459464707762,1150,
est_dim_wrapped_stable,4,2,-739.9105843005034,650,-1265.918564379111,1150,
est_dim_wrapped_stable,6,2,-858.7422219186544,650,-1592.7576566720509,1150,
est_dim_wrapped_stable,1,4,-91.34143394944357,650,-15.686339807254463,1221,
est_dim_wrapped_stable,2,4,-332.50479076386165,650,-650.003371944784,1150,
est_dim_wrapped_stable,4,4,-698.8685817095986,650,-1307.992723119921,1150,
est_dim_wrapped_stable,6,4,-915.9994862995785,650,-1537.515782822381,1150,
est_dim_wrapped_stable,1,3,-60.05089210970861,650,-45.960739731852655,1221,
est_dim_wrapped_stable,2,3,-357.2242527968478,650,-623.633800486686,1150,
est_dim_wrapped_stable,4,3,-689.250709993575,650,-1316.9996522314557,1150,
est_dim_wrapped_stable,6,3,-907.313709246039,650,-1547.7734905675663,1150,
est_dim_wrapped_stable,1,1,-40.875300548971,650,-64.7954168391361,1221,
est_dim_wrapped_stable,2,1,-411.2286375588335,650,-571.4606702826131,1150,
est_dim_wrapped_stable,4,1,-713.2497422240563,650,-1291.0858341134704,1150,
est_dim_wrapped_stable,6,1,-866.8186733415222,650,-1585.7538856666758,1150,
est_dim_von_mises_and_uniform,1,8,-67.80471503540906,650,-55.25187942266341,1221,
est_dim_von_mises_and_uniform,2,8,-379.1754123517455,650,-603.5961650089764,1150,
est_dim_von_mises_and_uniform,4,8,-688.6488135992922,650,-1323.695529113759,1150,
est_dim_von_mises_and_uniform,6,8,-886.4208497089602,650,-1562.2777154948417,1150,
est_dim_von_mises_and_uniform,1,7,-38.68096647900822,650,-81.81049388110326,1221,
est_dim_von_mises_and_uniform,2,7,-342.671702024061,650,-645.8269325875829,1150,
est_dim_von_mises_and_uniform,4,7,-670.4108956549533,650,-1341.5964535478336,1150,
est_dim_von_mises_and_uniform,6,7,-867.2087689285904,650,-1580.9998067585875,1150,
est_dim_von_mises_and_uniform,1,5,-46.39552814019915,650,-75.33796983821702,1221,
est_dim_von_mises_and_uniform,2,5,-364.2761333766663,650,-618.3437201281292,1150,
est_dim_von_mises_and_uniform,4,5,-720.3878522894321,650,-1290.7054004785437,1150,
est_dim_von_mises_and_uniform,6,5,-861.6912912848413,650,-1589.62059397527,1150,
est_dim_von_mises_and_uniform,1,6,-2.2751096808871756,650,-119.45052803059511,1221,
est_dim_von_mises_and_uniform,2,6,-390.3318341001502,650,-593.0651732561984,1150,
est_dim_von_mises_and_uniform,4,6,-705.1079498455258,650,-1306.4024743692867,1150,
est_dim_von_mises_and_uniform,6,6,-892.4339926765142,650,-1562.083633247534,1150,
est_dim_von_mises_and_uniform,1,0,-60.18848656811611,650,-60.394143305536076,1221,
est_dim_von_mises_and_uniform,2,0,-359.2577418447319,650,-626.4620248009925,1150,
est_dim_von_mises_and_uniform,4,0,-723.4791823657758,650,-1283.2663083721286,1150,
est_dim_von_mises_and_uniform,6,0,-900.8322230553886,650,-1547.5251679571938,1150,
est_dim_von_mises_and_uniform,1,9,-96.33327904943135,650,-26.253794945890768,1221,
est_dim_von_mises_and_uniform,2,9,-317.7426658101815,650,-667.5902928364826,1150,
est_dim_von_mises_and_uniform,4,9,-713.9635974582336,650,-1292.9129998835597,1150,
est_dim_von_mises_and_uniform,6,9,-888.2287953057107,650,-1566.4802995536288,1150,
est_dim_von_mises_and_uniform,1,2,-31.67205971946008,650,-89.3010636167239,1221,
est_dim_von_mises_and_uniform,2,2,-338.4454910951556,650,-643.6488941440198,1150,
est_dim_von_mises_and_uniform,4,2,-742.2950837008543,650,-1269.4002504802497,1150,
est_dim_von_mises_and_uniform,6,2,-856.6610029075365,650,-1590.4458535376464,1150,
est_dim_von_mises_and_uniform,1,4,-91.2091529202172,650,-31.052479656090107,1221,
est_dim_von_mises_and_uniform,2,4,-337.031469955732,650,-644.8510618098207,1150,
est_dim_von_mises_and_uniform,4,4,-702.1298489763465,650,-1309.3950890240712,1150,
est_dim_von_mises_and_uniform,6,4,-910.8446372102676,650,-1538.7541248301336,1150,
est_dim_von_mises_and_uniform,1,3,-64.04849912839583,650,-58.54428126945457,1221,
est_dim_von_mises_and_uniform,2,3,-358.21901932623575,650,-624.966833269186,1150,
est_dim_von_mises_and_uniform,4,3,-685.8671314404743,650,-1323.3170799351424,1150,
est_dim_von_mises_and_uniform,6,3,-909.5158961624113,650,-1539.1921186473487,1150,
est_dim_von_mises_and_uniform,1,1,-47.13759244789837,650,-73.81049669178009,1221,
est_dim_von_mises_and_uniform,2,1,-412.0678755109643,650,-571.4437687475847,1150,
