model_class,N,training_set_seed,test_llh,test_sizes,train_llh,train_sizes,
est_dim_wrapped_stable,6,8,-212.31011071716387,150,-479.9787726363112,330,
est_dim_wrapped_stable,6,7,-214.57075698444248,150,-479.26179055100204,330,
est_dim_wrapped_stable,6,5,-210.98595409630198,150,-482.14345610595825,330,
est_dim_wrapped_stable,6,6,-224.04867600626105,150,-469.1235470034974,330,
est_dim_wrapped_stable,6,0,-218.47167596161452,150,-474.1236329633555,330,
est_dim_wrapped_stable,6,9,-220.1505300917712,150,-471.94627112205944,330,
est_dim_wrapped_stable,6,2,-219.06614570231812,150,-472.4184629435646,330,
est_dim_wrapped_stable,6,4,-210.627958015909,150,-483.36748838188663,330,
est_dim_wrapped_stable,6,3,-233.76432591944405,150,-460.4045563354822,330,
est_dim_wrapped_stable,6,1,-204.3665262191564,150,-487.0800305009219,330,
spike_and_slab_wrapped_stable,6,8,-212.8427636011437,150,-482.07069789181656,330,
spike_and_slab_wrapped_stable,6,7,-212.3819923619476,150,-482.1456573477046,330,
spike_and_slab_wrapped_stable,6,5,-212.72211237242317,150,-482.4417630149793,330,
spike_and_slab_wrapped_stable,6,6,-225.3529856981245,150,-470.0132281360007,330,
spike_and_slab_wrapped_stable,6,0,-219.9288819627133,150,-475.2801004573048,330,
spike_and_slab_wrapped_stable,6,9,-218.32548968067823,150,-476.0202199786006,330,
spike_and_slab_wrapped_stable,6,2,-217.4520979767216,150,-476.8856541706837,330,
spike_and_slab_wrapped_stable,6,4,-211.32243226489442,150,-483.50566957386627,330,
spike_and_slab_wrapped_stable,6,3,-234.47043996561445,150,-461.71931528270966,330,
spike_and_slab_wrapped_stable,6,1,-204.07922438106698,150,-491.23457903962503,330,
cue_dim_von_mises_and_uniform,6,8,-213.04880080721293,150,-479.8490588116764,330,
cue_dim_von_mises_and_uniform,6,7,-212.22236683022192,150,-480.1093016580492,330,
cue_dim_von_mises_and_uniform,6,5,-212.3057198509665,150,-480.9817903668064,330,
cue_dim_von_mises_and_uniform,6,6,-227.12806243905672,150,-467.9515681721756,330,
cue_dim_von_mises_and_uniform,6,0,-220.3110176667361,150,-472.93331548746363,330,
cue_dim_von_mises_and_uniform,6,9,-218.83440314316775,150,-473.55807199577873,330,
cue_dim_von_mises_and_uniform,6,2,-218.67101600985902,150,-473.98097898583427,330,
cue_dim_von_mises_and_uniform,6,4,-213.70306533335082,150,-479.9603655903277,330,
cue_dim_von_mises_and_uniform,6,3,-238.74750163516205,150,-457.80152140820303,330,
cue_dim_von_mises_and_uniform,6,1,-205.3882946158184,150,-488.1005310559954,330,
est_dim_von_mises_and_uniform,6,8,-213.1702995234682,150,-479.97161623490484,330,
est_dim_von_mises_and_uniform,6,7,-215.37760783930443,150,-478.46163679221553,330,
est_dim_von_mises_and_uniform,6,5,-211.19717290171798,150,-481.7414615835288,330,
est_dim_von_mises_and_uniform,6,6,-224.75892565256999,150,-468.90386543850923,330,
est_dim_von_mises_and_uniform,6,0,-218.4821772287274,150,-474.0776110984097,330,
est_dim_von_mises_and_uniform,6,9,-220.41691030187047,150,-471.03877287784263,330,
est_dim_von_mises_and_uniform,6,2,-218.84374857924382,150,-473.2328739941745,330,
est_dim_von_mises_and_uniform,6,4,-210.57892477459342,150,-481.62501022948084,330,
est_dim_von_mises_and_uniform,6,3,-233.45657854462377,150,-460.7078759262972,330,
est_dim_von_mises_and_uniform,6,1,-204.0763157255006,150,-488.24960519976224,330,
spike_and_slab_von_mises_and_uniform,6,8,-212.9993605145175,150,-481.3849123142901,330,
spike_and_slab_von_mises_and_uniform,6,7,-212.4837807824421,150,-481.60204117862503,330,
spike_and_slab_von_mises_and_uniform,6,5,-211.85845343536676,150,-482.7174963658857,330,
spike_and_slab_von_mises_and_uniform,6,6,-225.09564206059366,150,-469.8748570909962,330,
spike_and_slab_von_mises_and_uniform,6,0,-218.73004265069608,150,-475.7997166986114,330,
spike_and_slab_von_mises_and_uniform,6,9,-218.4494938188791,150,-475.5445185074027,330,
spike_and_slab_von_mises_and_uniform,6,2,-218.98306986770172,150,-475.3169411657552,330,
spike_and_slab_von_mises_and_uniform,6,4,-211.38501519167818,150,-483.2714525132342,330,
spike_and_slab_von_mises_and_uniform,6,3,-234.02611224778752,150,-461.63372255266825,330,
spike_and_slab_von_mises_and_uniform,6,1,-203.7749024854445,150,-491.03562428202576,330,
cue_dim_wrapped_stable,6,8,-213.32449074132796,150,-480.1839424292498,330,
cue_dim_wrapped_stable,6,7,-212.22408453549184,150,-480.6984355538817,330,
cue_dim_wrapped_stable,6,5,-213.2268384687772,150,-480.72485262768566,330,
cue_dim_wrapped_stable,6,6,-224.72991941507482,150,-469.30049772876964,330,
cue_dim_wrapped_stable,6,0,-221.40949858640897,150,-472.3975618941467,330,
cue_dim_wrapped_stable,6,9,-219.11205109975836,150,-473.69076545134806,330,
cue_dim_wrapped_stable,6,2,-217.2206009094799,150,-475.6469110498313,330,
cue_dim_wrapped_stable,6,4,-214.02531568762393,150,-480.1228345038441,330,
cue_dim_wrapped_stable,6,3,-240.09512030164677,150,-457.25650794170144,330,
cue_dim_wrapped_stable,6,1,-205.33412492484027,150,-489.2395493995069,330,
