model_class,N,training_set_seed,test_llh,test_sizes,train_llh,train_sizes,
est_dim_wrapped_stable,6,5,-205.35063601808926,150,-1177.0694493523226,810,
est_dim_wrapped_stable,6,0,-221.96672457012454,150,-1160.1304309663878,810,
est_dim_wrapped_stable,6,2,-216.97498987858557,150,-1165.3507203297359,810,
est_dim_wrapped_stable,6,4,-220.8483712697187,150,-1160.8006480093286,810,
est_dim_wrapped_stable,6,3,-215.7442046093607,150,-1166.7847665522186,810,
est_dim_wrapped_stable,6,1,-217.6823016328223,150,-1164.4673918304125,810,
est_dim_von_mises_and_uniform,6,8,-212.37955599055056,150,-1173.2064145759055,810,
est_dim_von_mises_and_uniform,6,7,-221.40791912921333,150,-1163.7048222979654,810,
est_dim_von_mises_and_uniform,6,5,-206.05751860653015,150,-1179.586477577077,810,
est_dim_von_mises_and_uniform,6,6,-223.97119475778754,150,-1161.3829315422258,810,
est_dim_von_mises_and_uniform,6,0,-223.29832198205384,150,-1161.6808925580615,810,
est_dim_von_mises_and_uniform,6,9,-219.30511799543083,150,-1166.2721514499785,810,
est_dim_von_mises_and_uniform,6,2,-215.967140485127,150,-1168.9268366739477,810,
est_dim_von_mises_and_uniform,6,4,-220.49280502783023,150,-1164.6296240706497,810,
est_dim_von_mises_and_uniform,6,3,-216.15471596144005,150,-1169.3156082951978,810,
est_dim_von_mises_and_uniform,6,1,-218.40876342946711,150,-1166.754600396376,810,
spike_and_slab_wrapped_stable,6,8,-212.0038515942776,150,-1169.9922604707358,810,
spike_and_slab_wrapped_stable,6,7,-220.25464252332566,150,-1161.7429924009837,810,
spike_and_slab_wrapped_stable,6,5,-205.21335411422064,150,-1176.8970296993607,810,
spike_and_slab_wrapped_stable,6,6,-222.14471275123356,150,-1159.9592865293143,810,
spike_and_slab_wrapped_stable,6,0,-222.0263689454935,150,-1160.0075560284554,810,
spike_and_slab_wrapped_stable,6,9,-219.1523085189913,150,-1162.842442994242,810,
spike_and_slab_wrapped_stable,6,2,-216.93364313716722,150,-1165.169430700858,810,
spike_and_slab_wrapped_stable,6,4,-220.094613671806,150,-1161.9744734657088,810,
spike_and_slab_wrapped_stable,6,3,-215.70929514841757,150,-1166.654442593615,810,
spike_and_slab_wrapped_stable,6,1,-217.39593093430364,150,-1164.569332731328,810,
spike_and_slab_von_mises_and_uniform,6,8,-212.36584098667532,150,-1173.003350978917,810,
spike_and_slab_von_mises_and_uniform,6,7,-220.65013237571554,150,-1164.7178862590872,810,
spike_and_slab_von_mises_and_uniform,6,5,-206.1287180332934,150,-1179.2913121244953,810,
spike_and_slab_von_mises_and_uniform,6,6,-223.71507403624025,150,-1161.6652300258816,810,
spike_and_slab_von_mises_and_uniform,6,0,-223.34019088103912,150,-1162.0558423380899,810,
spike_and_slab_von_mises_and_uniform,6,9,-219.24063717469426,150,-1165.992861926808,810,
spike_and_slab_von_mises_and_uniform,6,2,-215.9451746054438,150,-1169.2546203344662,810,
spike_and_slab_von_mises_and_uniform,6,4,-220.36214355533718,150,-1164.8673009647887,810,
spike_and_slab_von_mises_and_uniform,6,3,-215.82388591702914,150,-1169.8706463685153,810,
spike_and_slab_von_mises_and_uniform,6,1,-217.9708812093142,150,-1167.2485039027247,810,
cue_dim_von_mises_and_uniform,6,8,-187.64820818651793,150,-1051.481332352697,810,
cue_dim_von_mises_and_uniform,6,7,-203.7259011659729,150,-1034.763312592963,810,
cue_dim_von_mises_and_uniform,6,5,-183.5489422469413,150,-1055.308716319049,810,
cue_dim_von_mises_and_uniform,6,6,-198.08676596934643,150,-1041.0753648949028,810,
cue_dim_von_mises_and_uniform,6,0,-203.2465258259608,150,-1035.1538971924667,810,
cue_dim_von_mises_and_uniform,6,9,-208.76448692646355,150,-1030.640880035548,810,
cue_dim_von_mises_and_uniform,6,2,-194.14517680386763,150,-1044.6143470333582,810,
cue_dim_von_mises_and_uniform,6,4,-197.15899327089437,150,-1041.7358124016819,810,
cue_dim_von_mises_and_uniform,6,3,-190.12343548137625,150,-1049.8416422997093,810,
cue_dim_von_mises_and_uniform,6,1,-193.42258083875896,150,-1045.2614164520587,810,
cue_dim_wrapped_stable,6,8,-187.38160526994872,150,-1047.9411516265395,810,
cue_dim_wrapped_stable,6,7,-203.40277704114825,150,-1033.3840446865065,810,
cue_dim_wrapped_stable,6,5,-182.86808892880467,150,-1053.1431836028082,810,
cue_dim_wrapped_stable,6,6,-196.87815781007893,150,-1039.6271376773238,810,
cue_dim_wrapped_stable,6,0,-202.45391560295786,150,-1033.959044069536,810,
cue_dim_wrapped_stable,6,9,-207.63062471602822,150,-1028.5310153996338,810,
cue_dim_wrapped_stable,6,2,-195.31392912467612,150,-1040.886456124374,810,
cue_dim_wrapped_stable,6,4,-197.00768002331873,150,-1039.5186589865662,810,
cue_dim_wrapped_stable,6,3,-189.4587690555594,150,-1046.8965773732068,810,
cue_dim_wrapped_stable,6,1,-192.46213124856155,150,-1045.3669665166904,810,
