model_class,N,training_set_seed,test_llh,test_sizes,train_llh,train_sizes,
est_dim_wrapped_stable,4,8,-156.43069242807175,150,-841.0069876815828,810,
est_dim_wrapped_stable,4,7,-153.35564650912863,150,-843.8118169400906,810,
est_dim_wrapped_stable,4,5,-137.47207085950933,150,-858.752801980421,810,
est_dim_wrapped_stable,4,6,-174.9982935536271,150,-822.6148034419269,810,
est_dim_wrapped_stable,4,0,-154.52614588267406,150,-842.9271690018495,810,
est_dim_wrapped_stable,4,9,-185.23967564650783,150,-813.16301052522,810,
est_dim_wrapped_stable,4,2,-155.28613167733232,150,-842.2785642633653,810,
est_dim_wrapped_stable,4,4,-159.54557739641774,150,-838.0151399247997,810,
est_dim_wrapped_stable,4,3,-160.67013248610846,150,-838.2955109167826,810,
est_dim_wrapped_stable,4,1,-152.45526237088905,150,-845.6308811567069,810,
spike_and_slab_wrapped_stable,4,8,-155.92685800939242,150,-846.8505769347078,810,
spike_and_slab_wrapped_stable,4,7,-154.02780322587458,150,-848.6458692081682,810,
spike_and_slab_wrapped_stable,4,5,-137.27585531501637,150,-865.77451083243,810,
spike_and_slab_wrapped_stable,4,6,-173.031193016982,150,-829.8558527215066,810,
spike_and_slab_wrapped_stable,4,0,-154.81210991778482,150,-848.0665986548524,810,
spike_and_slab_wrapped_stable,4,9,-183.2666346864055,150,-820.1618992958938,810,
spike_and_slab_wrapped_stable,4,2,-154.92733155115695,150,-847.849115786361,810,
spike_and_slab_wrapped_stable,4,4,-161.73688383281774,150,-841.0008879285006,810,
spike_and_slab_wrapped_stable,4,3,-161.91657213293706,150,-840.8921704778928,810,
spike_and_slab_wrapped_stable,4,1,-153.53406936574862,150,-849.2335124182077,810,
cue_dim_von_mises_and_uniform,4,8,-153.73059132969124,150,-828.1262823210136,810,
cue_dim_von_mises_and_uniform,4,7,-154.14937692994266,150,-830.4983634643824,810,
cue_dim_von_mises_and_uniform,4,5,-131.31460295928977,150,-848.8402191997127,810,
cue_dim_von_mises_and_uniform,4,6,-167.24129034962556,150,-812.9395949904504,810,
cue_dim_von_mises_and_uniform,4,0,-151.77741043908324,150,-828.7095356067912,810,
cue_dim_von_mises_and_uniform,4,9,-179.7018801763432,150,-803.5090213971645,810,
cue_dim_von_mises_and_uniform,4,2,-149.72419686050887,150,-832.4658773523737,810,
cue_dim_von_mises_and_uniform,4,4,-160.74098075576,150,-820.3167459538083,810,
cue_dim_von_mises_and_uniform,4,3,-158.6003525118863,150,-822.0575055541625,810,
cue_dim_von_mises_and_uniform,4,1,-153.39436451141836,150,-827.6572039724057,810,
est_dim_von_mises_and_uniform,4,8,-155.31351835024114,150,-842.53318296155,810,
est_dim_von_mises_and_uniform,4,7,-153.35877196253676,150,-843.7013051265101,810,
est_dim_von_mises_and_uniform,4,5,-136.51796970105207,150,-860.7451801495516,810,
est_dim_von_mises_and_uniform,4,6,-174.8458523504899,150,-823.8147737738238,810,
est_dim_von_mises_and_uniform,4,0,-153.38454853423738,150,-843.0626188565475,810,
est_dim_von_mises_and_uniform,4,9,-185.4662218835989,150,-813.0850568546248,810,
est_dim_von_mises_and_uniform,4,2,-154.30424720884378,150,-843.5627755980897,810,
est_dim_von_mises_and_uniform,4,4,-160.35230083584304,150,-836.6052003882262,810,
est_dim_von_mises_and_uniform,4,3,-160.64150407380583,150,-836.7127975034075,810,
est_dim_von_mises_and_uniform,4,1,-152.8410337549301,150,-845.2214663965447,810,
cue_dim_wrapped_stable,4,8,-153.0288487552408,150,-828.7335957942375,810,
cue_dim_wrapped_stable,4,7,-154.08500385534524,150,-828.958119303566,810,
cue_dim_wrapped_stable,4,5,-132.61995329361798,150,-849.2902157230677,810,
cue_dim_wrapped_stable,4,6,-167.99169463793578,150,-816.9389422816769,810,
cue_dim_wrapped_stable,4,0,-152.9713702744231,150,-829.973466542194,810,
cue_dim_wrapped_stable,4,9,-179.1777654319157,150,-804.2055146623984,810,
cue_dim_wrapped_stable,4,2,-150.53158249875483,150,-831.7041364348845,810,
cue_dim_wrapped_stable,4,4,-160.41433642524015,150,-822.2400433827332,810,
cue_dim_wrapped_stable,4,3,-157.02832650692636,150,-825.2601456463107,810,
cue_dim_wrapped_stable,4,1,-152.988196502219,150,-829.7062715439893,810,
spike_and_slab_von_mises_and_uniform,4,8,-155.42254644279478,150,-846.7714255557814,810,
spike_and_slab_von_mises_and_uniform,4,7,-153.99163987476174,150,-847.9597283792198,810,
spike_and_slab_von_mises_and_uniform,4,5,-136.69247777150906,150,-865.5357677232448,810,
spike_and_slab_von_mises_and_uniform,4,6,-172.85644032928008,150,-829.3205951858154,810,
spike_and_slab_von_mises_and_uniform,4,0,-153.74761966466485,150,-848.579180649208,810,
spike_and_slab_von_mises_and_uniform,4,9,-183.68377158665118,150,-818.9806228521726,810,
spike_and_slab_von_mises_and_uniform,4,2,-154.26020484961123,150,-847.9937439796892,810,
spike_and_slab_von_mises_and_uniform,4,4,-161.87621114903413,150,-840.0749405440175,810,
spike_and_slab_von_mises_and_uniform,4,3,-161.82966195706317,150,-840.2476715678918,810,
spike_and_slab_von_mises_and_uniform,4,1,-154.34923783079503,150,-847.5902886798442,810,
